antecedents_str,consequents_str,rule_str,support,confidence,lift,strength
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG PINK POLKADOT,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG PINK POLKADOT",0.0106,0.5523,8.1263,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND  →  LUNCH BAG CARS BLUE",0.015,0.5741,8.12,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG  BLACK SKULL.,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG  BLACK SKULL.",0.0121,0.6453,8.1122,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND",LUNCH BAG APPLE DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND  →  LUNCH BAG APPLE DESIGN",0.0125,0.4815,8.1115,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG CARS BLUE",0.011,0.5732,8.1079,Very Strong
JUMBO BAG DOILEY PATTERNS,JUMBO BAG VINTAGE LEAF,JUMBO BAG DOILEY PATTERNS  →  JUMBO BAG VINTAGE LEAF,0.0148,0.4577,8.1064,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",LUNCH BAG PINK POLKADOT,"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG PINK POLKADOT",0.0172,0.5501,8.0944,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG ALPHABET DESIGN",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG ALPHABET DESIGN  →  LUNCH BAG SPACEBOY DESIGN",0.0106,0.5665,8.0868,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG WOODLAND",LUNCH BAG  BLACK SKULL.,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG  BLACK SKULL.",0.011,0.6432,8.0858,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN",LUNCH BAG  BLACK SKULL.,"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN  →  LUNCH BAG  BLACK SKULL.",0.0172,0.6426,8.0788,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN  →  LUNCH BAG APPLE DESIGN",0.0158,0.4792,8.0733,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN  →  LUNCH BAG CARS BLUE",0.0153,0.5706,8.0704,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG  BLACK SKULL.,"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG  BLACK SKULL.",0.0172,0.6407,8.0547,Very Strong
LADIES & GENTLEMEN METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,LADIES & GENTLEMEN METAL SIGN  →  HAND OVER THE CHOCOLATE   SIGN,0.0101,0.3666,8.0522,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG SUKI DESIGN,"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND  →  LUNCH BAG SUKI DESIGN",0.0158,0.5385,8.0465,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN  →  LUNCH BAG APPLE DESIGN",0.0128,0.4775,8.044,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND  →  LUNCH BAG CARS BLUE",0.0166,0.5687,8.0437,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN",LUNCH BAG PINK POLKADOT,"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN  →  LUNCH BAG PINK POLKADOT",0.0133,0.5464,8.0389,Very Strong
"LUNCH BAG SUKI DESIGN, LUNCH BAG WOODLAND",LUNCH BAG  BLACK SKULL.,"LUNCH BAG SUKI DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG  BLACK SKULL.",0.0142,0.639,8.0329,Very Strong
"JUMBO BAG RED RETROSPOT, LUNCH BAG  BLACK SKULL.",JUMBO BAG PINK POLKADOT,"JUMBO BAG RED RETROSPOT, LUNCH BAG  BLACK SKULL.  →  JUMBO BAG PINK POLKADOT",0.0105,0.5078,8.0317,Very Strong
"WOODEN FRAME ANTIQUE WHITE, WOODEN PICTURE FRAME WHITE FINISH",WOOD 2 DRAWER CABINET WHITE FINISH,"WOODEN FRAME ANTIQUE WHITE, WOODEN PICTURE FRAME WHITE FINISH  →  WOOD 2 DRAWER CABINET WHITE FINISH",0.0116,0.3151,8.0279,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG PINK POLKADOT",LUNCH BAG  BLACK SKULL.,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG PINK POLKADOT  →  LUNCH BAG  BLACK SKULL.",0.0108,0.6381,8.0217,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN",LUNCH BAG PINK POLKADOT,"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN  →  LUNCH BAG PINK POLKADOT",0.0172,0.5445,8.012,Very Strong
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES  →  PACK OF 60 PINK PAISLEY CAKE CASES,0.013,0.3699,8.0113,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND",LUNCH BAG  BLACK SKULL.,"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG  BLACK SKULL.",0.0125,0.6367,8.0046,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG SPACEBOY DESIGN",0.0108,0.5607,8.0032,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT  →  LUNCH BAG CARS BLUE",0.0201,0.5656,8.0003,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG PINK POLKADOT",LUNCH BAG CARS BLUE,"LUNCH BAG APPLE DESIGN, LUNCH BAG PINK POLKADOT  →  LUNCH BAG CARS BLUE",0.0121,0.5655,7.9993,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG DOLLY GIRL DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG CARS BLUE",0.0112,0.565,7.9922,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG CARS BLUE,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG RED RETROSPOT  →  LUNCH BAG CARS BLUE",0.0109,0.5649,7.9896,Very Strong
"JUMBO  BAG BAROQUE BLACK WHITE, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,"JUMBO  BAG BAROQUE BLACK WHITE, JUMBO BAG RED RETROSPOT  →  JUMBO BAG PINK POLKADOT",0.0135,0.5045,7.9803,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG CARS BLUE",0.0106,0.5641,7.9789,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG PINK POLKADOT,"LUNCH BAG RED RETROSPOT, LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG PINK POLKADOT",0.0109,0.5422,7.9773,Very Strong
"LUNCH BAG SUKI DESIGN, LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG  BLACK SKULL.,"LUNCH BAG SUKI DESIGN, LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG  BLACK SKULL.",0.0121,0.6345,7.9759,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE",LUNCH BAG SUKI DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE  →  LUNCH BAG SUKI DESIGN",0.0172,0.5337,7.9748,Very Strong
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG CARS BLUE",0.0157,0.5636,7.9716,Very Strong
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI",JUMBO SHOPPER VINTAGE RED PAISLEY,"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI  →  JUMBO SHOPPER VINTAGE RED PAISLEY",0.0102,0.4757,7.9701,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG RED RETROSPOT, LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG SPACEBOY DESIGN",0.0112,0.5582,7.9684,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG WOODLAND",LUNCH BAG RED RETROSPOT,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG RED RETROSPOT",0.0122,0.7136,7.9644,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN",LUNCH BAG ALPHABET DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN  →  LUNCH BAG ALPHABET DESIGN",0.011,0.3785,7.9616,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",LUNCH BAG SUKI DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG SUKI DESIGN",0.0166,0.5321,7.9519,Very Strong
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG APPLE DESIGN",0.0131,0.4711,7.9365,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG PINK POLKADOT",LUNCH BAG  BLACK SKULL.,"LUNCH BAG CARS BLUE, LUNCH BAG PINK POLKADOT  →  LUNCH BAG  BLACK SKULL.",0.0201,0.6313,7.9364,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG RED RETROSPOT,"LUNCH BAG PINK POLKADOT, LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG RED RETROSPOT",0.0109,0.7105,7.93,Very Strong
JUMBO BAG SPACEBOY DESIGN,JUMBO STORAGE BAG SUKI,JUMBO BAG SPACEBOY DESIGN  →  JUMBO STORAGE BAG SUKI,0.0148,0.4566,7.9282,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND",LUNCH BAG PINK POLKADOT,"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG PINK POLKADOT",0.0106,0.5388,7.9273,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",LUNCH BAG WOODLAND,"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT  →  LUNCH BAG WOODLAND",0.0152,0.4276,7.9231,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG CARS BLUE",0.011,0.5592,7.9094,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG APPLE DESIGN",LUNCH BAG SUKI DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG APPLE DESIGN  →  LUNCH BAG SUKI DESIGN",0.0117,0.5292,7.9081,Very Strong
"LUNCH BAG SUKI DESIGN, LUNCH BAG WOODLAND",LUNCH BAG RED RETROSPOT,"LUNCH BAG SUKI DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG RED RETROSPOT",0.0158,0.7076,7.8971,Very Strong
LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT","LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",0.0127,0.3074,7.8963,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT  →  LUNCH BAG DOLLY GIRL DESIGN",0.0127,0.3264,7.8963,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG ALPHABET DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG ALPHABET DESIGN  →  LUNCH BAG CARS BLUE",0.0105,0.5579,7.8918,Very Strong
"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT",JUMBO STORAGE BAG SUKI,"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT  →  JUMBO STORAGE BAG SUKI",0.0106,0.4536,7.8767,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN  →  LUNCH BAG APPLE DESIGN",0.0136,0.4669,7.865,Very Strong
"JUMBO  BAG BAROQUE BLACK WHITE, JUMBO BAG RED RETROSPOT",JUMBO SHOPPER VINTAGE RED PAISLEY,"JUMBO  BAG BAROQUE BLACK WHITE, JUMBO BAG RED RETROSPOT  →  JUMBO SHOPPER VINTAGE RED PAISLEY",0.0125,0.4685,7.8497,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG SUKI DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG SUKI DESIGN",0.0153,0.5249,7.8433,Very Strong
NO SINGING METAL SIGN,COOK WITH WINE METAL SIGN,NO SINGING METAL SIGN  →  COOK WITH WINE METAL SIGN,0.0101,0.3434,7.8341,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG  BLACK SKULL.,"LUNCH BAG RED RETROSPOT, LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG  BLACK SKULL.",0.0125,0.6225,7.8255,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG WOODLAND",LUNCH BAG SUKI DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG WOODLAND  →  LUNCH BAG SUKI DESIGN",0.0134,0.5235,7.8231,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG  BLACK SKULL.,"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT  →  LUNCH BAG  BLACK SKULL.",0.0236,0.6221,7.8204,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG PINK POLKADOT",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG PINK POLKADOT  →  LUNCH BAG DOLLY GIRL DESIGN",0.0103,0.3232,7.8186,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT",LUNCH BAG SUKI DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT  →  LUNCH BAG SUKI DESIGN",0.0174,0.523,7.8155,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",LUNCH BAG VINTAGE LEAF DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG VINTAGE LEAF DESIGN",0.0108,0.3445,7.8154,Very Strong
LUNCH BAG ALPHABET DESIGN,LUNCH BAG APPLE DESIGN,LUNCH BAG ALPHABET DESIGN  →  LUNCH BAG APPLE DESIGN,0.022,0.4636,7.8106,Very Strong
LUNCH BAG APPLE DESIGN,LUNCH BAG ALPHABET DESIGN,LUNCH BAG APPLE DESIGN  →  LUNCH BAG ALPHABET DESIGN,0.022,0.3713,7.8106,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG  BLACK SKULL.,"LUNCH BAG APPLE DESIGN, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG  BLACK SKULL.",0.0132,0.6212,7.8094,Very Strong
"JUMBO BAG APPLES, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,"JUMBO BAG APPLES, JUMBO BAG RED RETROSPOT  →  JUMBO BAG PINK POLKADOT",0.0119,0.4933,7.8036,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG PINK POLKADOT,"LUNCH BAG APPLE DESIGN, LUNCH BAG RED RETROSPOT  →  LUNCH BAG PINK POLKADOT",0.0142,0.5285,7.7766,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN",LUNCH BAG RED RETROSPOT,"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN  →  LUNCH BAG RED RETROSPOT",0.0187,0.6967,7.7756,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG WOODLAND",LUNCH BAG APPLE DESIGN,"LUNCH BAG PINK POLKADOT, LUNCH BAG WOODLAND  →  LUNCH BAG APPLE DESIGN",0.0106,0.4615,7.7755,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT  →  LUNCH BAG DOLLY GIRL DESIGN",0.0114,0.3213,7.771,Very Strong
POTTERING IN THE SHED METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,POTTERING IN THE SHED METAL SIGN  →  HAND OVER THE CHOCOLATE   SIGN,0.0102,0.3538,7.7709,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG PINK POLKADOT",LUNCH BAG  BLACK SKULL.,"LUNCH BAG APPLE DESIGN, LUNCH BAG PINK POLKADOT  →  LUNCH BAG  BLACK SKULL.",0.0133,0.618,7.7688,Very Strong
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG CARS BLUE",0.0153,0.5491,7.7672,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG DOLLY GIRL DESIGN",LUNCH BAG  BLACK SKULL.,"LUNCH BAG CARS BLUE, LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG  BLACK SKULL.",0.0112,0.6178,7.7663,Very Strong
LUNCH BAG DOILEY PATTERN,LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG DOILEY PATTERN  →  LUNCH BAG VINTAGE LEAF DESIGN,0.0113,0.3423,7.766,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG RED RETROSPOT  →  LUNCH BAG SPACEBOY DESIGN",0.0105,0.5439,7.7643,Very Strong
JUMBO BAG PINK VINTAGE PAISLEY,"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT","JUMBO BAG PINK VINTAGE PAISLEY  →  JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",0.0133,0.3022,7.7629,Very Strong
"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK VINTAGE PAISLEY,"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT  →  JUMBO BAG PINK VINTAGE PAISLEY",0.0133,0.3409,7.7629,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN  →  LUNCH BAG SPACEBOY DESIGN",0.0132,0.543,7.7517,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG CARS BLUE",LUNCH BAG  BLACK SKULL.,"LUNCH BAG APPLE DESIGN, LUNCH BAG CARS BLUE  →  LUNCH BAG  BLACK SKULL.",0.0133,0.6157,7.7398,Very Strong
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND",LUNCH BAG PINK POLKADOT,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG PINK POLKADOT",0.0146,0.526,7.7395,Very Strong
PLEASE ONE PERSON METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,PLEASE ONE PERSON METAL SIGN  →  HAND OVER THE CHOCOLATE   SIGN,0.0181,0.3521,7.7347,Very Strong
HAND OVER THE CHOCOLATE   SIGN,PLEASE ONE PERSON METAL SIGN,HAND OVER THE CHOCOLATE   SIGN  →  PLEASE ONE PERSON METAL SIGN,0.0181,0.3975,7.7347,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN  →  LUNCH BAG CARS BLUE",0.0133,0.5464,7.7279,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN",LUNCH BAG PINK POLKADOT,"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN  →  LUNCH BAG PINK POLKADOT",0.0153,0.5249,7.7226,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY",JUMBO STORAGE BAG SUKI,"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY  →  JUMBO STORAGE BAG SUKI",0.0131,0.4441,7.7123,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG VINTAGE LEAF DESIGN,"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG VINTAGE LEAF DESIGN",0.0112,0.3399,7.7106,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG CARS BLUE,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG RED RETROSPOT  →  LUNCH BAG CARS BLUE",0.0117,0.5451,7.7103,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN",LUNCH BAG ALPHABET DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN  →  LUNCH BAG ALPHABET DESIGN",0.0116,0.3664,7.7083,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN  →  LUNCH BAG CARS BLUE",0.0172,0.5445,7.7021,Very Strong
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG WOODLAND,LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG WOODLAND,0.0171,0.4144,7.6784,Very Strong
LUNCH BAG WOODLAND,LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG WOODLAND  →  LUNCH BAG DOLLY GIRL DESIGN,0.0171,0.3174,7.6784,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY",JUMBO  BAG BAROQUE BLACK WHITE,"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY  →  JUMBO  BAG BAROQUE BLACK WHITE",0.0111,0.376,7.6766,Very Strong
"JUMBO BAG APPLES, JUMBO BAG RED RETROSPOT",JUMBO BAG ALPHABET,"JUMBO BAG APPLES, JUMBO BAG RED RETROSPOT  →  JUMBO BAG ALPHABET",0.0101,0.4167,7.6633,Very Strong
PACK OF 72 SKULL CAKE CASES,60 TEATIME FAIRY CAKE CASES,PACK OF 72 SKULL CAKE CASES  →  60 TEATIME FAIRY CAKE CASES,0.0122,0.3568,7.6618,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG PINK POLKADOT",LUNCH BAG RED RETROSPOT,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG PINK POLKADOT  →  LUNCH BAG RED RETROSPOT",0.0116,0.6857,7.653,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG RED RETROSPOT,"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG RED RETROSPOT",0.0184,0.6856,7.6521,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG SUKI DESIGN,"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG SUKI DESIGN",0.0168,0.511,7.6362,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG CARS BLUE,"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT  →  LUNCH BAG CARS BLUE",0.0204,0.5393,7.6278,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG CARS BLUE",0.0168,0.5373,7.5995,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO BAG VINTAGE LEAF",JUMBO BAG PINK POLKADOT,"JUMBO BAG RED RETROSPOT, JUMBO BAG VINTAGE LEAF  →  JUMBO BAG PINK POLKADOT",0.0122,0.4795,7.5847,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG  BLACK SKULL.,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG  BLACK SKULL.",0.0116,0.6025,7.5743,Very Strong
"JUMBO BAG RED RETROSPOT, LUNCH BAG PINK POLKADOT",LUNCH BAG RED RETROSPOT,"JUMBO BAG RED RETROSPOT, LUNCH BAG PINK POLKADOT  →  LUNCH BAG RED RETROSPOT",0.0137,0.6773,7.559,Very Strong
"JUMBO BAG ALPHABET, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,"JUMBO BAG ALPHABET, JUMBO BAG RED RETROSPOT  →  JUMBO BAG PINK POLKADOT",0.0102,0.4757,7.5239,Very Strong
